Person,Name,InfoType,Details
Me,HarryLane,Birthday, 01/01/2015
Friend,JabuDlamini,Birthday,02/02/2018
Best Friend,RoyChiredzi,Birthday,03/09/2016
Sister,JaneMbatha,Birthday,24/12/2019
Sister,DoraLane,Birthday,16/05/2021
Brother,KingLane,Birthday,24/08/2012
Mother,TraceyLane,Birthday,14/10/1982
Father,GilbertLane,Birthday,02/05/1977
Pet,Snoop,Birthday,01/01/2020
User,HarryLane,College,Trinity
Friend,JabuDlamini,College,UZ
Best Friend,RoyChiredzi,College,NUST
Sister,JaneMbatha,College,HIT
Sister,DoraLane,College,LSU
Brother,KingLane,College,MSU
Mother,TraceyLane,College,USAP
Father,GilbertLane,College,Masvingo
Pet,Snoop,College,Chipinge Training
